iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2]
0,-2.124275214970112,0.6083106309175491,0.5989347197115421,0.5928025566041469,0.5963220544159412,0.5905547238886356,0.5875436015427112
1,-2.553017646074295,0.6175123699009418,0.5969830513000488,0.585627718269825,0.5926534071564674,0.5807740934193134,0.5744576439261436
2,-3.0114002004265785,0.6274877771735191,0.5940241202712059,0.5787148647010326,0.5890134185552597,0.570843993127346,0.5608557224273681
3,-3.4857101514935493,0.6380437076091766,0.5899989552795887,0.5723467975854873,0.5853991232812404,0.560996825248003,0.5469033367931843
4,-3.9586602933704853,0.6489166975021362,0.5849429801106453,0.5668216630816459,0.581795359402895,0.5514921531081199,0.5328112974762916
5,-4.4112818613648415,0.6597806964069605,0.5790325481444597,0.5623950347304344,0.5781782981008291,0.5425835441797972,0.518824290856719
6,-4.825610721483827,0.6702813509851694,0.5725798927247524,0.5592329487204551,0.5745444767177105,0.5344766400754452,0.5051964152604341
7,-5.187464199028909,0.680075642094016,0.5660031590610742,0.5573782216757536,0.5709168709814548,0.5272979386150837,0.4921774616464972
8,-5.489111579954624,0.6888765347190201,0.559741779603064,0.5567369488067925,0.5673446244560182,0.5210831867530942,0.4799734287895262
9,-5.7305159866809845,0.6965048116631806,0.5541619131341576,0.5571082522161305,0.5638890489004552,0.5157838867977261,0.46871792608872054
10,-5.917819060385227,0.7028982517309487,0.5494857164099812,0.5582379986532032,0.5606068409048021,0.5112969907000661,0.45847462574020026
11,-6.060540221631527,0.7081122835166752,0.5457783000543713,0.5598694783635437,0.5575473903678357,0.5074952201917767,0.4492407635785639
12,-6.168665781617165,0.712266965676099,0.5429860273376107,0.5617746961303055,0.5547291188500821,0.5042467968538403,0.4409683690406382
13,-6.250884257256985,0.7155171883292496,0.5409906240180135,0.5637748566456139,0.5521523467265069,0.5014305183663964,0.4335741297341883
14,-6.313947465270758,0.7180161670781672,0.5396403385326266,0.565745382476598,0.549818906839937,0.49895153697580097,0.4269688826985657
15,-6.362855149433017,0.7199059062637388,0.5387976303696632,0.5676065747626126,0.5477110705338418,0.4967376695945859,0.42106566010043023
16,-6.40123325586319,0.7213059653528034,0.538329198397696,0.569310209620744,0.545814203005284,0.4947277376428246,0.41578127527609465
17,-6.431700894609094,0.7223109946586191,0.538130903057754,0.5708305518142879,0.5441092335619032,0.49288169424980877,0.41103647360578177
18,-6.456174340099096,0.7229899632744491,0.538126060180366,0.5721610802225768,0.5425712102092802,0.4911699308082461,0.40676460126414893
19,-6.476022547110915,0.723398891184479,0.5382487582042813,0.5733044081367552,0.5411925789900124,0.4895688410848379,0.40290539329871533
20,-6.49231962300837,0.7235816129483282,0.5384440705180168,0.5742707242257893,0.5399491618387401,0.4880646182224154,0.3994044297374785
21,-6.50587223470211,0.7235668989829719,0.5386780206114054,0.5750708504579961,0.5388239360414445,0.486639860458672,0.396215386595577
22,-6.517296127974987,0.7233811513520777,0.5389284355565905,0.5757197988219559,0.537799219507724,0.48528581615537403,0.3933001876808703
23,-6.527074348181486,0.7230395254679024,0.5391646245494485,0.576228189188987,0.5368670140393078,0.48399605732411144,0.39062175983563063
24,-6.535548023879528,0.7225562994368374,0.5393792143091559,0.5766130563803017,0.5360140901990235,0.48276453036814926,0.38815605351701377
25,-6.5430871322751045,0.7219389964826405,0.5395622322335839,0.5768825233913958,0.535226556379348,0.4815824845805764,0.3858684924431145
26,-6.549909628927708,0.7211958401836455,0.5397070286795497,0.5770505898632109,0.5344964870251715,0.480444205366075,0.38373429225757716
27,-6.556221172213554,0.7203289558179676,0.539805849455297,0.5771267720498144,0.5338080626912415,0.4793490557000041,0.3817401555366814
28,-6.5622383877635,0.7193396006710827,0.5398541180416941,0.5771195263601839,0.5331573513336479,0.478287605009973,0.3798606981523335
