iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2]
0,-3.9261497631669044,0.593997547775507,0.5965387620031833,0.5984156526625156,0.5952179379761219,0.5933850467205047,0.586432746052742
1,-4.285478875041008,0.5872448109090328,0.5930525906383991,0.5968077838420868,0.5905812181532383,0.5864924736320972,0.5716942757368088
2,-4.7001858949661255,0.5795970767736435,0.5895411878824234,0.5951341338455677,0.5861319586634636,0.5793051742017269,0.5557323455810547
3,-5.1790813729166985,0.5708936661481857,0.5859996661543846,0.5933372363448143,0.5819209948182106,0.5717996269464493,0.5385249055922031
4,-5.731599912047386,0.560962425917387,0.5824094884097576,0.5913603328168392,0.5779817126691341,0.5639597721397877,0.5200698621571064
5,-6.366812169551849,0.5496374763548374,0.578740144520998,0.5891376905143261,0.5743320122361183,0.5557799696922302,0.5004025720059871
6,-7.091943442821503,0.5367632232606411,0.5749397598206997,0.586606489866972,0.5709607139229774,0.5472610503435135,0.47961979582905767
7,-7.909457176923752,0.5222271405160427,0.570927957445383,0.583704250305891,0.5678128883242607,0.5384135156869888,0.45792309418320654
8,-8.815187647938728,0.5059980995953083,0.5666083343327045,0.5803670682013035,0.5647814258933067,0.5292778074741363,0.43557397499680517
9,-9.794749915599823,0.48815871253609655,0.5618880189955234,0.5765433110296726,0.5616855680942535,0.5199164062738418,0.4129429183900356
10,-10.82186934351921,0.4689345009624958,0.5566790126264095,0.5721833355724811,0.5583314657211303,0.5104118794202804,0.3905130051076412
11,-11.86039350926876,0.4487308584153652,0.5509507231414318,0.5672385118901729,0.5544713124632835,0.5008804112672806,0.3688247002661228
12,-12.870804280042648,0.42807832583785055,0.5447231106460094,0.561667601019144,0.5498984217643738,0.49142477512359617,0.348414184898138
13,-13.81815567612648,0.40757972225546835,0.5380952976644039,0.5554501660168171,0.5444543868303299,0.4821444064378738,0.329728739708662
14,-14.678402096033096,0.3878170125186443,0.5312158934772014,0.5485688991844654,0.5381459057331085,0.4731187433004379,0.3130589447915554
15,-15.441616773605347,0.36926588639616964,0.5242424480617046,0.5410303570330143,0.531106224656105,0.4643866181373596,0.2984732262790203
16,-16.108427315950394,0.35222664698958395,0.5173321388661861,0.5329202063381672,0.5235470294952392,0.45596676170825956,0.285883279889822
17,-16.686465740203857,0.33682562634348867,0.510617496818304,0.5243141002953052,0.5157429784536361,0.4478676825761795,0.2750838570296764
18,-17.185045838356018,0.3230838648974895,0.5041844271123409,0.5153657145798206,0.5079465717077255,0.44011745452880857,0.26580257937312124
19,-17.61466208100319,0.31087240800261495,0.49809217676520345,0.5062409438192844,0.5003649353981018,0.43271238207817075,0.2578008346259594
20,-17.98392403125763,0.30004786178469656,0.4923911117017269,0.49712646976113317,0.49313982427120207,0.42565407454967497,0.25082545205950735
21,-18.300832092761993,0.2904460750520229,0.4870979361236095,0.4881617672741413,0.4863534480333328,0.4189626932144165,0.2446968577802181
22,-18.57271820306778,0.2818439923226833,0.4821956031024456,0.47949636951088903,0.4800675868988037,0.4126397430896759,0.2392368786036968
23,-18.80527174472809,0.27412978038191793,0.4777262084186077,0.4712126202881336,0.47426665425300596,0.406663304567337,0.23433941826224325
24,-19.004670083522797,0.2671282015740871,0.473636644333601,0.46336152628064153,0.4689156025648117,0.4010219633579254,0.22993915006518362
25,-19.175406247377396,0.26076492890715597,0.4699136190116405,0.45598935559391973,0.4640010505914688,0.395709028840065,0.2259176544845104
26,-19.32202273607254,0.254927235096693,0.46650281772017477,0.44907806292176244,0.45950759053230283,0.3907070368528366,0.22224745377898214
27,-19.447966516017914,0.24954112097620962,0.46339124664664266,0.4426311500370502,0.4553725481033325,0.3859990745782852,0.21890597268939016
28,-19.556630194187164,0.2445888243615627,0.460555674880743,0.43659661188721655,0.4515907526016235,0.38156618773937223,0.21581042036414144
29,-19.650787383317947,0.23997359201312063,0.4579285256564617,0.4309926427900791,0.44806980192661283,0.37739085257053373,0.21296593770384786
30,-19.732687950134277,0.23570442423224447,0.4555100969970226,0.4257526196539402,0.4448016345500946,0.37346177399158476,0.2103226654231548
31,-19.804150730371475,0.23172874972224233,0.45325945541262624,0.4208453096449375,0.4417880833148956,0.36974084973335264,0.20787364467978475
32,-19.86673891544342,0.22802174314856527,0.4511829189956188,0.41623439863324163,0.4389727920293808,0.3662418782711029,0.20561900958418844
33,-19.92186352610588,0.22452953681349752,0.4492513112723827,0.4119202889502048,0.4363336622714996,0.362935072183609,0.20352095589041708
34,-19.970590114593506,0.22125900015234945,0.44745378419756887,0.40785726383328436,0.433850622177124,0.3597939521074295,0.20156094655394552
35,-20.013808757066727,0.2182131879031658,0.4457490615546703,0.4040136136114597,0.4315427303314209,0.3568223178386688,0.19973120316863058
36,-20.052085548639297,0.2153275780379772,0.444158049672842,0.4004156686365604,0.42937584817409513,0.35400753319263456,0.19803033992648122
37,-20.08649981021881,0.21260880157351492,0.4426511101424694,0.39700290039181707,0.42730227708816526,0.35136096775531767,0.19641316160559652
38,-20.117106467485428,0.21005876585841177,0.44124694392085073,0.3937740720808506,0.425372502207756,0.3488293498754501,0.19490361437201498
39,-20.144813895225525,0.20763822123408315,0.43989317342638967,0.39070829227566717,0.42350334525108335,0.3464214563369751,0.19346741065382955
40,-20.169817715883255,0.20534414276480673,0.43860757574439047,0.38778010979294775,0.4217448443174362,0.3441248297691345,0.19214324876666067
41,-20.19237506389618,0.20316747054457662,0.43741093799471853,0.3850050069391727,0.4200685977935791,0.34193565547466276,0.19085695073008535
42,-20.21290835738182,0.20110170766711233,0.43625942096114156,0.3823500223457813,0.418473607301712,0.3398436069488525,0.1896642319858074
43,-20.231537878513336,0.19914870187640188,0.4351677171885967,0.37981116250157354,0.4169371336698532,0.33785406351089475,0.18851587399840353
44,-20.24868842959404,0.19727698192000387,0.43409386500716207,0.37739292755723,0.41546533107757566,0.33594477772712705,0.18743773028254507
45,-20.26428058743477,0.19549314901232717,0.43308536931872366,0.3750725336372852,0.41408919394016264,0.3341129034757614,0.1864293538033962
46,-20.278564900159836,0.1937969349324703,0.43208436891436575,0.3728486396372318,0.41274805963039396,0.33235313594341276,0.1854518078267574
47,-20.291735768318176,0.19218638762831686,0.43114169165492056,0.37071760967373846,0.41147500872612,0.3306660860776901,0.18451373502612112
48,-20.30386158823967,0.1906093083322048,0.43025645837187765,0.3686680145561695,0.41021997332572935,0.3290532290935516,0.18362602815032003
49,-20.315054416656494,0.18912430331110952,0.42940052077174184,0.36669440045952795,0.40901454389095304,0.32749188542366026,0.18277077600359914
50,-20.32537344098091,0.18770219609141348,0.428566025942564,0.364815766364336,0.40786330997943876,0.3259797006845474,0.18195726200938223
51,-20.33494108915329,0.18634715899825094,0.42775033637881277,0.3629931457340717,0.40673180520534513,0.3245393097400665,0.1811677686870098
52,-20.343848645687103,0.18501863107085226,0.4269711248576641,0.3612251527607441,0.4056765645742416,0.3231650352478027,0.18043746277689932
53,-20.352104008197784,0.1837651155889034,0.4262304030358791,0.3595313377678394,0.4046299964189529,0.3218184173107147,0.17973035797476766
54,-20.359731167554855,0.18255140110850332,0.425494822114706,0.35789834931492803,0.4036413788795471,0.3205379158258438,0.17904669269919393
55,-20.36688992381096,0.18138228580355642,0.42479329034686086,0.35632909312844274,0.4026820421218872,0.31927323937416074,0.17836395129561422
56,-20.37364488840103,0.1802515111863613,0.42412653788924215,0.3547904886305332,0.401711305975914,0.3180782854557037,0.1777037255465984
57,-20.379867166280746,0.17915445789694784,0.42345005497336385,0.35331870093941686,0.40078788101673124,0.31689864993095396,0.17712469622492788
58,-20.385787904262543,0.17811441645026205,0.42278735563158987,0.3518859691917896,0.399904003739357,0.31577027440071104,0.17654976472258566
59,-20.39122235774994,0.17711065933108328,0.4221616558730602,0.3504860796034336,0.3990739345550537,0.3146795094013214,0.17598112151026724
60,-20.396421432495117,0.17614196464419363,0.4215563558042049,0.349150563031435,0.39822853207588194,0.31362435817718504,0.1754374824464321
61,-20.401262998580933,0.1752078704535961,0.42098711654543874,0.34785338714718816,0.3974324524402618,0.3125999331474304,0.174899073690176
