iter,energy,gamma[0],beta[0],gamma[1],beta[1]
0,-3.5266171991825104,0.5935809280723333,0.5954974874854088,0.5896692782640457,0.587193850800395
1,-3.9154612123966217,0.5865233283489942,0.5908591601997614,0.5789093788713217,0.573423857241869
2,-4.355958607047796,0.5786937348544597,0.5860558826476335,0.5677730910480022,0.5586423747241497
3,-4.854294538497925,0.5699363559484482,0.5810503721237182,0.5563340488821268,0.5428137447685003
4,-5.416935570538044,0.5600841179490089,0.5758121520280838,0.5446936380118131,0.5259116593748331
5,-6.051053114235401,0.5489503242075443,0.5703037552535534,0.5329636674374342,0.5079218823462724
6,-6.7636192962527275,0.5363511241972446,0.5644918777048588,0.5212812501937151,0.48886311091482637
7,-7.561198323965073,0.522114610671997,0.5583303816616535,0.5097783099859953,0.4687919173389673
8,-8.448687925934792,0.506106486916542,0.5517710097134113,0.49860357157886026,0.44779549576342104
9,-9.426592737436295,0.4882615491747856,0.5447732456028461,0.48787062279880045,0.4260375577956438
10,-10.48825903236866,0.46861240118741987,0.5372646175324917,0.47765059433877466,0.4037642929702997
11,-11.614955872297287,0.447348541021347,0.5292021207511425,0.4679313939064741,0.381326787546277
12,-12.772458493709564,0.42483959197998045,0.5205608628690243,0.45861224494874475,0.35923703797161577
13,-13.914127796888351,0.40164401978254316,0.5113909266889095,0.4494980540126562,0.33806300945580003
14,-14.987770646810532,0.37848359197378156,0.5018083028495312,0.44031966887414453,0.31842177398502824
15,-15.949281096458435,0.3561167255043983,0.4920723162591457,0.4308590855449438,0.3008154559880495
16,-16.77464485168457,0.33518598824739454,0.48245260342955587,0.4209994193166494,0.285514273121953
17,-17.459578216075897,0.3161382213234901,0.4732717894017696,0.41079847179353235,0.2725538987666368
18,-18.016366481781006,0.29912876933813093,0.46474571749567983,0.400424313172698,0.26173823364078996
19,-18.463796138763428,0.2841388568282127,0.45695959255099294,0.39014362953603265,0.2527284402400255
20,-18.821632653474808,0.2710029765963554,0.44997683390974996,0.38015925548970697,0.24516285248100755
21,-19.10729229450226,0.2594722792506218,0.44376966580748556,0.3706999685615301,0.23877435214817522
22,-19.335609406232834,0.24935580641031263,0.4382787816226482,0.3618343438953161,0.233319990709424
23,-19.51881769299507,0.24045531302690504,0.4333914689719677,0.3536233719438314,0.22857367284595964
24,-19.666761308908463,0.23255905359983442,0.4290286175906658,0.34605538509786127,0.2244349796324968
25,-19.78673365712166,0.2255301311612129,0.42510840520262716,0.3391298022121191,0.22078374810516832
26,-19.884770810604095,0.21924915760755537,0.42155826315283773,0.33278411291539667,0.2175133306533098
27,-19.96531891822815,0.2136125549674034,0.41833889707922933,0.32696112655103204,0.21459924466907976
28,-20.031739503145218,0.2085357442498207,0.4154115341603756,0.3216420080512762,0.21198000796139238
29,-20.087074428796768,0.20395302623510358,0.4127131424844265,0.31675900183618066,0.20958953388035295
30,-20.133426010608673,0.19978919476270673,0.4102321438491344,0.31226300857961176,0.20743388719856737
31,-20.172401279211044,0.19598199278116224,0.4079330287873745,0.30813540183007715,0.20547481663525102
32,-20.20539227128029,0.19250710159540174,0.40579439923167226,0.30432139001786707,0.20369354672729967
33,-20.23342141509056,0.18933157473802564,0.4037884198129177,0.30080657862126825,0.20206310637295244
34,-20.257466793060303,0.1864296033978462,0.40191142484545705,0.297545176371932,0.20052581317722795
