iter,energy,gamma[0],beta[0]
0,-1.890044018626213,0.5913801737129688,0.5896019957959652
1,-2.101557733491063,0.5822969697415828,0.5785243161022663
2,-2.3399622589349747,0.5727029055356979,0.5667269354686141
3,-2.6089760288596153,0.5625443099066615,0.5541705101728439
4,-2.9126404002308846,0.5517578547820449,0.5408244416117668
5,-3.255222372710705,0.5402739396318793,0.5266674220561981
6,-3.641019217669964,0.5280164195224643,0.5116929732263088
7,-4.07403352111578,0.5149067616090178,0.49591355994343755
8,-4.557344935834408,0.5008677517995238,0.4793768435716629
9,-5.092525027692318,0.4858350170776248,0.4621615283191204
10,-5.678593568503857,0.46976373847573993,0.4443966209888458
11,-6.311314731836319,0.45265183728188274,0.42624699175357816
12,-6.982083275914192,0.4345399452373385,0.407942695915699
13,-7.677639275789261,0.41554293911904094,0.3897515445947647
14,-8.380636796355247,0.3958424417302012,0.3719764858484268
15,-9.070994108915329,0.3756989700719714,0.3549219951033592
16,-9.728445619344711,0.3554345531389117,0.33886113613843916
17,-10.335184514522552,0.33539235722273586,0.324021203815937
18,-10.877877801656723,0.31592895220965145,0.3105562761425972
19,-11.349633038043976,0.2973414970561862,0.2985267177224159
20,-11.749119997024536,0.2798766208812594,0.287923364341259
21,-12.079813122749329,0.2637018276378512,0.27866788059473035
22,-12.348323106765747,0.24891664218157528,0.2706385388970375
23,-12.563020676374435,0.23553983997553585,0.2636906787753105
24,-12.732434839010239,0.22354418169707058,0.25770500153303144
25,-12.864697396755219,0.21286785732954738,0.2525441780686378
26,-12.967146009206772,0.20342533420771358,0.24809096604585645
27,-13.046104907989502,0.19510093461722133,0.24422496408224104
28,-13.106636703014374,0.18779190015047786,0.24087406545877454
29,-13.152898013591766,0.18139541279524563,0.23795483857393263
30,-13.188070744276047,0.17581716310232876,0.23542277365922926
31,-13.214849025011063,0.17095324527472255,0.2332033351063728
32,-13.23521625995636,0.16671712826937435,0.23124763220548628
33,-13.250686585903168,0.16303001474589107,0.2295288726687431
34,-13.262439370155334,0.15982650350779293,0.22801105529069898
35,-13.27135881781578,0.15704883765429256,0.22667084485292432
36,-13.278120994567871,0.15463245045393703,0.22548253685235975
37,-13.283284366130829,0.1525314165279269,0.224425895512104
38,-13.287196606397629,0.1507141603156924,0.22348973006010053
39,-13.290195792913437,0.14913106095045803,0.22265912443399427
40,-13.292459189891815,0.14775875341147182,0.22192431837320326
41,-13.294184893369675,0.14656672012060878,0.22127081304788587
42,-13.295514285564423,0.1455334139987826,0.22068960815668104
43,-13.29651790857315,0.14463305603712795,0.22016031891107557
44,-13.297279566526413,0.1438479585573077,0.21971100419759748
45,-13.297894477844238,0.14317090939730404,0.21931104212999342
46,-13.298321694135666,0.14258080851286647,0.2189371421933174
47,-13.298664927482605,0.1420672548934817,0.21862335354089735
48,-13.29895493388176,0.14161862563341854,0.21833132058382032
49,-13.299149543046951,0.1412285132333636,0.2180753335356712
50,-13.299302071332932,0.14088714253157375,0.21784393340349195
51,-13.29940950870514,0.14058952163904903,0.2176447197794914
52,-13.299521028995514,0.14033448826521633,0.21746589094400404
53,-13.299588948488235,0.14010995756834743,0.21729914695024488
54,-13.299634724855423,0.13991756867617366,0.21716628819704054
55,-13.299684315919876,0.1397474719211459,0.2170348450541496
56,-13.299700051546097,0.1396062834188342,0.21692955344915388
57,-13.299716889858246,0.13947925101965664,0.2168367639183998
58,-13.299744218587875,0.13936416935175655,0.21674512177705763
