iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3]
1,-2.341714471578598,0.5443960852181791,0.5671609956141509,1.5400165005449284,0.5443960852181791,0.5443960852181791,0.9159613928930126,0.5443960852181791,0.5443960852181791
2,-7.212027072906494,0.47594959538235726,0.6548890674609633,2.3902039482053468,0.5765355666349967,0.5991115059621747,0.9197657546407543,0.22789413327753377,0.40200826850045196
3,-7.4341334998607635,0.4650428242983688,0.6611845906916395,2.522256205633911,0.5771430438720231,0.6094420214171802,0.9370120643679956,0.21750807948460926,0.38548414135725967
4,-8.138886392116547,0.44815298656372016,0.6412145105731979,2.6394069234303625,0.560289336362787,0.6430394897423664,0.9926038976407834,0.2529483166173909,0.37346975070338606
5,-8.749044299125671,0.4562793835953574,0.6312394664433473,2.5371899408964342,0.5551792737692751,0.6361214772374505,0.9885951555561878,0.23475200436098154,0.38748275823635336
6,-8.945437967777252,0.4599680194702752,0.6258978953907299,2.459358230592157,0.5514202422130142,0.6383262224085854,0.9796043759021339,0.23088706997320815,0.40414689621602656
7,-9.217626631259918,0.4643139348804471,0.6322607831498068,2.4454209001349465,0.5376732577788381,0.6376384704336654,0.9776426343972038,0.2447525603814046,0.4428260303179037
8,-9.350002825260162,0.4695969607208792,0.6362703405742286,2.448574607676093,0.5153732502058439,0.6376787767528186,0.9944956961371068,0.26030424292477944,0.4992792975364705
9,-9.480953097343445,0.45860616888634104,0.6450761518480417,2.420201672134514,0.5285886492558424,0.6498782626196086,0.9900663514745458,0.25252352329317096,0.5072285373679991
10,-9.628256469964981,0.43863787332702947,0.6634921902636376,2.350055449452788,0.5472289330810116,0.6813890425945438,0.9785001626483271,0.24090902493352162,0.5467505819459376
11,-9.70436629652977,0.43218570788973953,0.6705017003880704,2.361837441071958,0.5592720940416498,0.7048733430024219,0.9665682607074649,0.23765079519717786,0.561957106464074
12,-9.789727598428726,0.4310429790392094,0.6708211523493803,2.3543451395830393,0.5563644500416817,0.7120497658707275,0.9705593602008856,0.24382177164870542,0.5839654948296457
13,-9.908115893602371,0.42498248218107865,0.6747404635454879,2.31205197256583,0.5624789708307959,0.7523810523602165,0.9762013084918313,0.2614247038764203,0.6652542497034917
14,-9.931246012449265,0.42252571058428573,0.6755187118703752,2.336343916524857,0.5648097123072329,0.7516301180803056,0.9857891043235422,0.27384346211560867,0.6625480776907474
15,-9.94836163520813,0.4163022936176972,0.6811188839592939,2.330895683242343,0.5719639326244662,0.7630106478168716,0.9821363531358466,0.28068650927274086,0.6604921700072375
16,-9.956865012645721,0.4084330158300687,0.6913262930568613,2.3151760770534886,0.5804125500004703,0.7869063677817498,0.9845855458518883,0.2972261766235431,0.6933929512187151
17,-9.967657744884491,0.4069505533015434,0.694807215910815,2.3134945732937684,0.5814319180120214,0.7868749220008169,0.9922663782194604,0.30949100771203436,0.7075213373987206
18,-9.972555845975876,0.40833681264765814,0.692128747643774,2.318933680235868,0.5795393919204699,0.7807997374603229,0.9891190630146531,0.3035859473258668,0.6969669287459673
19,-9.972887963056564,0.4066987081179329,0.6900817130285077,2.319395996902368,0.5793084399462062,0.7817995649980727,0.9868768888889725,0.3025575878404066,0.6998684821183797
20,-9.973593950271606,0.4062309793211717,0.6893913982832854,2.3195764874912137,0.5784743705364722,0.7801375450655725,0.9882117236421114,0.30401875384441174,0.69888569575813
21,-9.973595142364502,0.40623082960053497,0.6893915096974161,2.319576390630322,0.5784744640086504,0.7801377726174388,0.988211952355748,0.30401916120865063,0.6988859894918261
